exercise_id,exercise_name,keep
CANONICAL:FFDB:912,Ring Grip Full Planche,
CANONICAL:FFDB:783,Ring Grip Full Planche Push Up,
CANONICAL:FFDB:1409,Ring Grip Push Up,
CANONICAL:FFDB:2760,Ring Grip Straddle Planche,
CANONICAL:FFDB:785,Ring Grip Straddle Planche Push Up,
CANONICAL:FFDB:17,Ring Hanging Knee Raise,
CANONICAL:FFDB:972,Ring Hanging Knees to Elbows,
CANONICAL:FFDB:1044,Ring Hanging Knees to Wrists,
CANONICAL:FFDB:1573,Ring Hanging L Sit,
CANONICAL:FFDB:30,Ring Hanging L Sit Flutter Kicks,
CANONICAL:FFDB:44,Ring Hanging Leg Raise,
CANONICAL:FFDB:27,Ring Hanging Oblique Knee Raise,
CANONICAL:FFDB:1621,Ring Hanging Tuck L Sit,
CANONICAL:FFDB:486,Ring Inverted Hang,
EXERCISE:Seated_Close-Grip_Concentration_Barbell_Curl,Seated Close-Grip Concentration Barbell Curl,
EXERCISE:Seated_Dumbbell_Palms-Down_Wrist_Curl,Seated Dumbbell Palms-Down Wrist Curl,
EXERCISE:Seated_Dumbbell_Palms-Up_Wrist_Curl,Seated Dumbbell Palms-Up Wrist Curl,
EXERCISE:Seated_One-Arm_Dumbbell_Palms-Down_Wrist_Curl,Seated One-Arm Dumbbell Palms-Down Wrist Curl,
EXERCISE:Seated_One-Arm_Dumbbell_Palms-Up_Wrist_Curl,Seated One-Arm Dumbbell Palms-Up Wrist Curl,
EXERCISE:Seated_Palm-Up_Barbell_Wrist_Curl,Seated Palm-Up Barbell Wrist Curl,
EXERCISE:Seated_Palms-Down_Barbell_Wrist_Curl,Seated Palms-Down Barbell Wrist Curl,
EXERCISE:Seated_Two-Arm_Palms-Up_Low-Pulley_Wrist_Curl,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,
CANONICAL:FFDB:354,Single Arm Bar Dead Hang,
CANONICAL:FFDB:1574,Single Arm Bar Hanging L Sit,
CANONICAL:FFDB:350,Single Arm Cable Reverse Grip Bicep Curl,
CANONICAL:FFDB:140,Single Arm Cable Reverse Grip Tricep Pushdown,
CANONICAL:FFDB:2686,Single Arm Dumbbell Hang Power Clean,
CANONICAL:FFDB:239,Single Arm Ring Dead Hang,
CANONICAL:FFDB:704,Single Arm Ring Grip Push Up,
CANONICAL:FFDB:1575,Single Arm Ring Hanging L Sit,
CANONICAL:FFDB:2434,Slider Kettlebell Horn Grip Curtsy Lunge,
CANONICAL:FFDB:406,Slider Kettlebell Horn Grip Lateral Lunge,
CANONICAL:FFDB:2913,Slider Kettlebell Horn Grip Reverse Lunge,
EXERCISE:Smith_Machine_Close-Grip_Bench_Press,Smith Machine Close-Grip Bench Press,
EXERCISE:Smith_Machine_Hang_Power_Clean,Smith Machine Hang Power Clean,
EXERCISE:Standing_Palms-Up_Barbell_Behind_The_Back_Wrist_Curl,Standing Palms-Up Barbell Behind The Back Wrist Curl,
CANONICAL:FFDB:3234,Superband Side Lying Hanging Hip Adduction,
CANONICAL:FFDB:705,Superband Side Plank Hanging Hip Adduction,
CANONICAL:FFDB:348,Suspension Reverse Grip Bicep Curl,
CUSTOM:Tucked_Hang,Tucked Hang,
CUSTOM:Weighted_Dead_Hang,Weighted Dead Hang,
EXERCISE:Wide-Grip_Barbell_Bench_Press,Wide-Grip Barbell Bench Press,
EXERCISE:Wide-Grip_Decline_Barbell_Bench_Press,Wide-Grip Decline Barbell Bench Press,
EXERCISE:Wide-Grip_Decline_Barbell_Pullover,Wide-Grip Decline Barbell Pullover,
EXERCISE:Wide-Grip_Lat_Pulldown,Wide-Grip Lat Pulldown,
EXERCISE:Wide-Grip_Pulldown_Behind_The_Neck,Wide-Grip Pulldown Behind The Neck,
EXERCISE:Wide-Grip_Rear_Pull-Up,Wide-Grip Rear Pull-Up,
EXERCISE:Wide-Grip_Standing_Barbell_Curl,Wide-Grip Standing Barbell Curl
