interval_id,hr_peak,hrr60_abs,hrr120_abs,r2_recorded,slope_90_120,slope_90_120_r2,hr_at_90,hr_at_120,hr_change_90_120,slope_60_90,hr_std_90_120
301,99,13,17,0.946,0.1093,0.6253,79.0,82.0,3.0,-0.277,1.24
308,121,12,16,0.908,0.0101,0.0372,105.0,105.0,0.0,-0.1226,0.47
318,127,25,25,0.989,-0.2065,0.5715,104.0,101.0,-3.0,0.0774,2.44
320,139,26,43,0.955,-0.4819,0.9429,108.0,95.0,-13.0,-0.0512,4.44
321,117,16,21,0.974,-0.2012,0.5922,98.0,96.0,-2.0,-0.0407,2.34
323,124,10,32,0.777,-0.6597,0.9713,110.0,93.0,-17.0,-0.2089,5.99
326,125,21,30,0.995,-0.1419,0.7489,99.0,95.0,-4.0,-0.1052,1.47
327,124,14,25,0.859,-0.146,0.57,102.0,99.0,-3.0,-0.2262,1.73
341,152,11,17,0.866,-0.0121,0.1042,136.0,135.0,-1.0,-0.1238,0.34
356,153,15,30,0.944,-0.1827,0.7854,130.0,122.0,-8.0,-0.2339,1.84
359,142,12,31,0.741,-0.0351,0.1609,111.0,111.0,0.0,-0.7282,0.78
373,171,17,41,0.898,-0.3286,0.9491,140.0,130.0,-10.0,-0.4444,3.02
